STATION,MSMT_DATE,WLM_RPE,WLM_RPE_QC,WLM_GSE,WLM_GSE_QC,RPE_WSE,RPE_WSE_QC,GSE_WSE,GSE_WSE_QC,WSE,WSE_QC
03N04E11L001M,12/1/2022,,255,,255,,255,,255,,255
04N04E01N001M,12/1/2022,0,1,0,1,,255,,255,,255
04N04E02B001M,12/1/2022,10.73,1,9.63,1,,255,,255,,255
04N04E10Q001M,12/1/2022,,255,,255,,255,,255,,255
04N04E10Q002M,12/1/2022,,255,,255,,255,,255,,255
04N04E12M001M,12/1/2022,-0.57,1,-2.58,1,,255,,255,,255
04N04E12M002M,12/1/2022,18.333,1,15.333,1,,255,,255,,255
04N04E13A001M,12/1/2022,,255,,255,,255,,255,,255
04N04E13A002M,12/1/2022,,255,,255,,255,,255,,255
04N04E34N001M,12/1/2022,,255,,255,,255,,255,,255
04N04E34N002M,12/1/2022,,255,,255,,255,,255,,255
04N05E07N002M,12/1/2022,5.72,1,3.52,1,,255,,255,,255
05N04E36G001M,12/1/2022,4.02,1,2.62,1,,255,,255,,255
05N04E36G002M,12/1/2022,4.02,1,2.62,1,,255,,255,,255
05N05E30A004M,12/1/2022,9.62,1,7.92,1,,255,,255,,255
05N05E30K001M,12/1/2022,4.52,1,2.92,1,,255,,255,,255
05N05E30K002M,12/1/2022,4.52,1,2.92,1,,255,,255,,255
07N02E35D001M,12/1/2022,34.35,70,33,70,,255,,255,,255
07N02E35D002M,12/1/2022,34.29,70,33,70,,255,,255,,255
07N02E35D003M,12/1/2022,35.15,70,33,70,,255,,255,,255
09N04E20N001M,12/1/2022,22.57,1,21.49,1,,255,,255,,255
09N04E20N002M,12/1/2022,22.39,1,21.49,1,,255,,255,,255
11N03E02Q002M,12/1/2022,26.45,1,24.71,1,,255,,255,,255
11N03E02Q003M,12/1/2022,26.28,1,24.71,1,,255,,255,,255
11N03E02Q004M,12/1/2022,26.22,1,24.71,1,,255,,255,,255
11N03E02Q005M,12/1/2022,26.12,1,24.71,1,,255,,255,,255
13N03E06A001M,12/1/2022,37.99,1,35.546,1,,255,,255,,255
13N03E06A002M,12/1/2022,37.861,1,35.546,1,,255,,255,,255
13N03E06A003M,12/1/2022,37.715,1,35.546,1,,255,,255,,255
14N01E35P001M,12/1/2022,48.74,1,46.88,1,,255,,255,,255
14N01E35P004M,12/1/2022,47.62,1,46.88,1,,255,,255,,255
14N02W22A002M,12/1/2022,87.06,1,,151,,255,,255,,255
14N02W22A003M,12/1/2022,86.9,1,84.38,1,,255,,255,,255
14N02W22A004M,12/1/2022,86.825,1,84.38,1,,255,,255,,255
14N02W22A005M,12/1/2022,86.69,1,84.38,1,,255,,255,,255
14N03E23D003M,12/1/2022,54.79,1,52.05,1,,255,,255,,255
14N03E23D004M,12/1/2022,54.53,1,52.05,1,,255,,255,,255
14N03E23D005M,12/1/2022,54.4,1,52.05,1,,255,,255,,255
14N03E23D006M,12/1/2022,52.52,1,50.73,1,,255,,255,,255
15N04E04R002M,12/1/2022,89.97,50,88.07,1,,255,,255,,255
15N04E04R003M,12/1/2022,89.88,50,88.07,1,,255,,255,,255
15N04E04R004M,12/1/2022,89.74,1,88.07,1,,255,,255,,255
15N04E04R005M,12/1/2022,89.69,1,88.07,1,,255,,255,,255
15N04E04R006M,12/1/2022,90.11,1,88.07,1,,255,,255,,255
16N03E17J001M,12/1/2022,79.295,1,77.354,1,,255,,255,,255
16N03E17J002M,12/1/2022,79.116,1,77.354,1,,255,,255,,255
16N03E17J003M,12/1/2022,78.871,1,77.354,1,,255,,255,,255
16N03E17J005M,12/1/2022,78.49,1,77.354,1,,255,,255,,255
16N03W14H004M,12/1/2022,68.21,1,65.7,1,,255,,255,,255
17N03E26A003M,12/1/2022,86.93,1,87.264,1,,255,,255,,255
